Place_Id,Place_Name,Description,Category,City,Price,Rating,Lat,Long
15,Museum Bank Indonesia,"Museum Bank Indonesia adalah sebuah museum di Jakarta, Indonesia yang terletak di Jl. Pintu Besar Utara No.3, Jakarta Barat (depan stasiun Beos Kota), dengan menempati area bekas gedung Bank Indonesia Kota yang merupakan cagar budaya peninggalan De Javasche Bank yang beraliran neo-klasikal, dipadu dengan pengaruh lokal, dan dibangun pertama kali pada tahun 1828.\nPada tahun 1625, di tempat ini pernah dibangun sebuah gereja sederhana untuk umat Protestan. Pada tahun 1628, gereja ini dibongkar karena digunakan untuk tempat meriam besar ketika puluhan ribu tentara Sultan Agung menyerang Batavia untuk pertama kali.Museum ini menyajikan informasi peran Bank Indonesia dalam perjalanan sejarah bangsa yang dimulai sejak sebelum kedatangan bangsa barat di Nusantara hingga terbentuknya Bank Indonesia pada tahun 1953 dan kebijakan-kebijakan Bank Indonesia, meliputi pula latar belakang dan dampak kebijakan Bank Indonesia bagi masyarakat sampai dengan tahun 2005. Penyajiannya dikemas sedemikian rupa dengan memanfaatkan teknologi modern dan multi media, seperti display elektronik, panel statik, televisi plasma, dan diorama sehingga menciptakan kenyamanan pengunjung dalam menikmati Museum Bank Indonesia. Selain itu terdapat pula fakta dan koleksi benda bersejarah pada masa sebelum terbentuknya Bank Indonesia, seperti pada masa kerajaan-kerajaan Nusantara, antara lain berupa koleksi uang numismatik yang ditampilkan juga secara menarik.\nPeresmian Museum Bank Indonesia dilakukan melalui dua tahap, yaitu peresmian tahap I dan mulai dibuka untuk masyarakat (soft opening) pada tanggal 15 Desember 2006 oleh Gubernur Bank Indonesia saat itu, Burhanuddin Abdullah, dan peresmian tahap II (grand opening) oleh Presiden RI Susilo Bambang Yudhoyono, pada tanggal 21 Juli 2009.\nMuseum Bank Indonesia buka setiap hari kecuali Senin dan hari libur nasional.",Budaya,Jakarta,2000,4.7,-6.137127,106.813005
16,Kidzania,"KidZania adalah sebuah waralaba swasta Meksiko berupa pusat hiburan keluarga yang saat ini beroperasi di 23 lokasi, yang memungkinkan anak-anak melakukan pekerjaan orang dewasa dan mendapat bayaran. KidZania telah dikunjungi oleh lebih dari 31 juta pengunjung di seluruh dunia sejak pembukaannya, menjadikannya salah satu merek hiburan global yang paling cepat berkembang di dunia.",Hiburan,Jakarta,185000,4.6,-6.2250735,106.8097144
17,Museum Wayang,"Museum Wayang adalah sebuah museum yang berlokasi di Jalan Pintu Besar Utara Nomor 27, Jakarta Barat.",Budaya,Jakarta,5000,4.5,-6.1349072,106.8124452
18,Masjid Istiqlal,"Masjid Istiqlal (arti harfiah: Masjid Merdeka) adalah masjid nasional negara Republik Indonesia yang terletak di bekas Taman Wilhelmina, di Timur Laut Lapangan Medan Merdeka yang di tengahnya berdiri Monumen Nasional (Monas), di pusat ibukota Jakarta. Masjid ini merupakan salah satu dari 10 masjid terbesar kapasitasnya di dunia yang dapat menampung lebih dari 200.000 jamaah. Di seberang Timur masjid ini berdiri Gereja Katedral Jakarta. Ketua Harian Badan Pengelola Masjid Istiqlal (BPMI) sekaligus Imam Besar Masjid Istiqlal adalah Prof. Dr. Nasaruddin Umar, M.A. Pembangunan masjid ini diprakarsai oleh Presiden Republik Indonesia saat itu, Ir. Soekarno. Peletakan batu pertama sebagai tanda dimulainya pembangunan Masjid Istiqlal dilakukan oleh Ir. Soekarno pada tanggal 24 Agustus 1961. Arsitek Masjid Istiqlal adalah Frederich Silaban, seorang Nasrani.Masjid ini memiliki gaya arsitektur modern dengan dinding dan lantai berlapis marmer, dihiasi ornamen geometrik dari baja antikarat. Bangunan utama masjid ini terdiri dari lima lantai dan satu lantai dasar. Bangunan utama itu dimahkotai satu kubah besar berdiameter 45 meter yang ditopang 12 tiang besar. Menara tunggal setinggi total 96,66 meter menjulang di sudut Selatan selasar masjid. Masjid ini mampu menampung lebih dari 200.000 jamaah.Selain digunakan sebagai aktivitas ibadah umat Islam, masjid ini juga digunakan sebagai kantor berbagai organisasi Islam di Indonesia, aktivitas sosial, dan kegiatan umum. Masjid ini juga menjadi salah satu daya tarik wisata yang terkenal di Jakarta. Kebanyakan wisatawan yang berkunjung umumnya wisatawan domestik di samping sebagian wisatawan asing yang beragama Islam. Masyarakat non-Muslim juga dapat berkunjung ke masjid ini setelah sebelumnya mendapat pembekalan informasi mengenai Islam dan Masjid Istiqlal, meskipun bagian yang boleh dikunjungi kaum non-Muslim terbatas dan harus didampingi pemandu.\nPada tiap hari besar Islam seperti Ramadhan, Idul Fitri, Idul Adha, Tahun Baru Hijriyah, Maulid Nabi Muhammad serta Isra dan Mi'raj, Presiden Republik Indonesia selalu mengadakan kegiatan keagamaan di masjid ini yang disiarkan secara langsung melalui televisi nasional (TVRI) dan sebagian televisi swasta.",Ibadah,Jakarta,0,4.7,-6.17017,106.83139
19,Museum Nasional,"Museum Nasional Republik Indonesia atau Museum Gajah, adalah sebuah museum arkeologi, sejarah, etnografi, dan geografi yang terletak di Jakarta Pusat dan persisnya di Jalan Merdeka Barat 12. Museum ini merupakan museum pertama dan terbesar di Asia Tenggara.",Budaya,Jakarta,5000,4.6,-6.1764021,106.8215901
20,Pasar Tanah Abang,"Pasar Tanah Abang atau Pasar Sabtu dibangun oleh Yustinus Vinck pada 30 Agustus 1735. Yustinus Vinck mendirikan Pasar Tanah Abang Pasar atas izin dari Gubernur Jenderal Abraham Patramini. Izin yang diberikan saat itu untuk Pasar Tanah Abang adalah untuk berjualan tekstil serta barang kelontong dan hanya buka setiap hari Sabtu. Oleh karena itu, pasar ini disebut Pasar Sabtu. Pasar ini mampu menyaingi Pasar Senen (Welter Vreden) yang sudah lebih dulu maju.\nPada tahun 1740 terjadi Peristiwa Geger Pecinan, yaitu pembantaian orang-orang Tionghoa, perusakan harta benda, termasuk Pasar Tanah Abang diporakporandakan dan dibakar. Pada tahun 1881, Pasar Tanah Abang kembali dibangun dan yang tadinya dibuka pada hari Sabtu, ditambah hari Rabu, sehingga Pasar Tanah Abang dibuka 2 kali seminggu. Bangunan Pasar pada mulanya sangat sederhana,terdiri dari dinding bambu dan papan serta atap rumbia dari 229 papan dan 139 petak bambu. Pasar Tanah Abang terus mengalami perbaikan hingga akhir abad ke-19 dan bagian lantainya mulai dikeraskan dengan pondasi adukan. Pada tahun 1913, Pasar Tanah Abang kembali diperbaiki. Pada tahun 1926 pemerintah Batavia membongkar Pasar Tanah Abang dan diganti bangunan permanen berupa tiga los panjang dari tembok dan papan serta beratap genteng, dengan kantor pasarnya berada di atas bangunan pasar mirip kandang burung. Pelataran parkir di depan pasar menjadi tempat parkir kuda-kuda penarik delman dan gerobak. Di situ tersedia kobakan air yang cukup besar, dan di seberang jalan ada toko yang khusus menjual dedak makanan kuda. Beberapa puluh meter dari toko dedak ada sebuah gang yang dikenal sebagai Gang Madat, tempat lokalisasi para pemadat.\nPada zaman pendudukan Jepang, pasar ini hampir tidak berfungsi, dan menjadi tempat para gelandangan.\nPasar Tanah Abang semakin berkembang setelah dibangunnya Stasiun Tanah Abang. Di tempat tersebut mulai dibangun tempat-tempat seperti Masjid Al Makmur dan Klenteng Hok Tek Tjen Sien yang keduanya seusia dengan Pasar Tanah Abang. Pada tahun 1973, Pasar Tanah Abang diremajakan, diganti dengan 4 bangunan berlantai empat, dan sudah mengalami dua kali kebakaran, pertama tanggal 30 Desember 1978, Blok A di lantai tiga dan kedua menimpa Blok B tanggal 13 Agustus 1979. Pada tahun 1975 tercatat kiosnya ada 4.351 buah dengan 3.016 pedagang.",Belanja,Jakarta,0,4,-6.1890096,106.8119312
21,Pecinan Glodok,"Kawasan Glodok yang dikenal sebagai pusat perdagangan elektronik sendiri dulunya merupakan bekas Penjara Glodok yang angker. Lokasi ini berada di seberang Glodok-Pancoran di kawasan Harco. Sebelum terjadi kerusuhan Mei 1998, kawasan ini sempat menjadi pusat belanja elektronik bagi wisatawan Jepang, Taiwan, dan Hongkong. Di Pinangsia, masyarakat bisa menemukan produk perlengkapan rumah tangga dan bangunan. Selain wisata belanja, pecinan Glodok-Pancoran juga merupakan situs sejarah awal mula Kota Jakarta. Setelah etnis Tionghoa bermukim dan membangun bisnis, serta perkebunan tebu, Batavia mulai berkembang pesat.",Belanja,Jakarta,0,4.3,-6.1427588,106.8140791
22,Sea World,"Seaworld Indonesia adalah sebuah miniatur pesona laut yang terdapat dalam kompleks wisata pertama di Taman Impian Jaya Ancol.\nPada tanggal 2 Oktober 1992, Gubernur DKI masa itu, Wiyogo Atmodarminto meletakkan batu pertama pembangunan Seaworld Indonesia. Tidak sampai dua tahun, pada tanggal 3 Juni 1994 SeaWorld Indonesia sudah mulai beroperasi. Area Seaworld seluas 3 hektare dengan luas bangunan utama 4.500 m2 berisi berbagai macam akuarium, lorong Antasena (lorong bawah air), perpustakaan, museum, terapi ikan dokter, glow theatre, komputer edukatif layar sentuh berisi informasi berbagai spesies di Seaworld dan bermacam fasilitas pelengkap untuk pengunjung seperti tempat makan, toko suvenir, dan ruang serba guna.",Hiburan,Jakarta,115000,4.5,-6.1264775,106.842963
23,Wisata Agro Edukatif Istana Susu Cibugary,Kawasan Wisata Agro Edukatif Istana Susu “Cibugary” (Cibubur Garden Dairy ) merupakan suatu kawasan agro peternakan sapi perah bernuansa kebun dan taman. Wisata edukasi Cibubur Garden Dairy (CIBUGARY) merupakan salah wisata edukasi yang diminati siswa sekolah. Edukasi pengenalan peternakan sapi memberikan pengalaman yang tidak dapat dilupakan oleh siswa sekolah. Kegiatan edukasi yang tidak terlalu banyak dan menyenangkan ini sangat disukai siswa sekolah. Dengan berwisata edukasi ini dapat menambah ilmu dan pengalaman secara langsung bagi siswa sekolah. Paket wisata edukatif Istana Susu Cibugary dihargai antara Rp 35.000 sampai Rp 65.000 per orang. Harga tersebut sudah termasuk beberapa botol susu pasteurisasi dan goodybag cibugary.,Hiburan,Jakarta,35000,4.5,-6.3568093,106.9062371
24,Setu Babakan,"Setu Babakan atau Danau Babakan terletak di Srengseng Sawah, kecamatan Jagakarsa, Kotamadya Jakarta Selatan, Indonesia dekat Depok yang berfungsi sebagai pusat Perkampungan Budaya Betawi, suatu area yang diperuntukkan untuk pelestarian warisan budaya Jakarta, yaitu budaya asli Betawi.\nPerkampungan budaya Betawi ini didirikan pada tanggal 18 Agustus 2000 melalui Surat Keputusan Gubernur DKI Nomor 92 tahun 2000 yang dikeluarkan oleh Gubernur DKI Jakarta pada waktu itu yaitu Sutiyoso\nSitu Babakan merupakan danau buatan dengan area 30 hektare (79 akre) dengan kedalaman 1-5 meter dimana airnya berasal dari Sungai Ciliwung dan saat ini digunakan sebagai tempat wisata alternatif, bagi warga dan para pengunjung.\nTaman disekitarnya ditanami dengan beragam pohon buah-buahan yaitu Mangga, Palem, Melinjo, Rambutan, Jambu, Pandan, Kecapi, Jamblang, Krendang, Guni, Nangka Cimpedak, Nam-nam, dan Jengkol.\nBanyak kuliner khas Betawi terdapat disini, antara lain Kerak Telor, Toge Goreng, Arum Manis, Rujak Bebek, Soto Betawi, Es Potong, Es Duren, Bir Pletok, Nasi Uduk, Nasi Ulam, Lontong Sayur, dll.\nWisata budaya yang disajikan antara laim rumah-rumah khas Betawi yang dibagi menjadi 3 macam, pertama rumah Betawi gudang atau kandang, kedua rumah Betawi Kebaya atau Bapang, dan yang ketiga adalah rumah Joglo, hampir serupa dengan rumah khas Yogyakarta.\nKeseniannya berupa Lenong, Tari Topeng, Tanjidor, Marawis, Gambang Kromong, Tari Lenggang Nyai, dan Tari Narojeng.\nUpacara Adat yang ada di perkampungan Betawi Setu Babakan adalah Penganten Sunat, Pindah Rumah, Khatam Qur'an, dan Nujuh Bulan.\nMayoritas penduduk di Setu Babakan adalah Betawi, dengan program dari pemda DKI untuk memperbaiki sarana dan prasarana yang ada untuk mengakomodasi kebutuhan ruang terbuka hijau, serta area untuk resapan air, setu babakan berbenah diri dengan dukungan penuh dari pemda DKI\nFungsi dari Setu ini bukan hanya untuk tempat melestarikan kebudayaan betawi yang makin tergerus oleh zaman, tetapi digunakan juga sebagai tempat alternatif rekreasi yang berlokasi di selatan jakarta. selain fungsi utamanya sebagai penampung air resapan untuk selatan jakarta,",Budaya,Jakarta,0,4.4,-6.3416667,106.8238889
25,Taman Suropati,"Taman Suropati (awalnya bernama Burgemeester Bisschopplein) adalah nama sebuah taman di Jakarta. Pada awalnya nama taman ini diambil dari nama wali kota Batavia pertama, G.J. Bisshop (1916–1920). Taman ini merupakan pusat kawasan Menteng, berada tepat di antara pertemuan tiga jalan utama, yaitu Menteng Boulevard (Jalan Teuku Umar), Orange Boulevard (Jalan Diponegoro), dan Nassau Boulevard (Jalan Imam Bonjol). Lapangan yang kini disebut sebagai Taman Suropati ini sejak tahun 1920 sudah menggantikan lapangan bundar yang luas dalam Rencana Moojen. Taman Suropati, yang disebut-sebut sebagai titik nol Republik Indonesia, menjadi taman yang rindang dan sejak beberapa tahun yang lalu dihiasi dengan patung-patung karya pematung dari negara-negara pendiri Perhimpunan Bangsa-Bangsa Asia Tenggara.",Hiburan,Jakarta,0,4.6,-6.1994034,106.8326228
26,Pasar Taman Puring,"Taman Puring bukanlah taman secara harfiah. Sejak eksis di tahun 1960 silam, Taman Puring adalah sebuah pasar. Selama bertahun-tahun, pasar ini sempat menjadi pasar gelap alias pasar barang-barang ilegal. Antara tahun 1980-1990an, pasar ini makin dijauhi masyarakat karena menjadi sentra barang-barang hasil tindakan kriminal. Sejak terbakar pada 2002, Pasar Taman Puring perlahan berbenah diri hingga sekarang menjadi destinasi belanja akhir pekan favorit warga Jakarta. Ada ratusan kios sepatu pria mulai dari sepatu kulit, sepatu gunung, sepatu futsal, hingga sepatu gaul khas anak muda. Beragam merk mulai dari Adidas, Caterpillar, Nike, Karrimor, Vans, hingga Converse tersedia dalam berbagai model dan warna.",Belanja,Jakarta,0,4.4,-6.241369,106.7890587
27,Grand Indonesia Mall,"Grand Indonesia merupakan mal di Jakarta. Mal ini dibuka pada tahun 2007 oleh Presiden Susilo Bambang Yudhoyono. Pada tahun 2007, Hotel Indonesia mengalami pemugaran. Selanjutnya setelah dibuka kembali, hotel dikelola oleh grup Kempinski dan namanya diganti menjadi Hotel Indonesia-Kempinski.",Belanja,Jakarta,0,4.7,-6.1951801,106.8204412
28,Skyrink - Mall Taman Anggrek,Salah satu arena ice skating Jakarta adalah Ice Skating Taman Anggrek. Area ice skating di Taman Anggrek dibuat seluas 1.248 meter persegi. Ice Skating Termegah Di Indonesia adalaH di Taman Anggrek. Tidak hanya termegah di Indonesia tetapi juga termegah di Asia.Maka dari itu tidak mengherankan bahwa banyak sekali pengunjung yang datang.,Hiburan,Jakarta,110000,4.5,-6.178996,106.791941
29,Istana Negara Republik Indonesia,"Istana Negara merupakan pusat kegiatan pemerintahan negara. Banyak kegiatan-kegiatan bersifat kenegaraan digelar di Istana Negara. Seperti kegiatan pelantikan pejabat-pejabat penting negara, maupun pembukaan kongres bersifat nasional dan internasional. Istana Negara fungsinya lebih difokuskan kepada kegiatan resmi kepresidenan, yaitu sebagai kantor Presiden Republik Indonesia. Dilansir situs Sekretaris Negara (Sesneg), Istana Negara awalnya sebagai kediaman pribadi warga Belanda, J.A Van Braam.",Budaya,Jakarta,0,4.6,-6.168069,106.8239727
30,Museum Macan (Modern and Contemporary Art in Nusantara),"Museum Seni Modern dan Kontemporer di Nusantara atau Museum MACAN adalah sebuah museum seni di Kebon Jeruk di Jakarta, Indonesia. Museum ini merupakan yang pertama di Indonesia yang memiliki koleksi seni modern dan kontemporer Indonesia dan internasional.",Budaya,Jakarta,100000,4.5,-6.190942,106.767622
31,Museum Bahari Jakarta,Museum Bahari adalah museum yang menyimpan koleksi yang berhubungan dengan kebaharian dan kenelayanan bangsa Indonesia dari Sabang hingga Merauke yang berlokasi di seberang Pelabuhan Sunda Kelapa. Museum adalah salah satu dari delapan museum yang berada di bawah pengawasan dari Dinas Kebudayaan Permuseuman Provinsi Daerah Khusus Ibu kota Jakarta.,Budaya,Jakarta,2000,4.4,-6.1269553,106.8085899
32,Museum Seni Rupa dan Kramik,"Museum Seni Rupa dan Keramik (Indonesia: Museum Seni Rupa dan Keramik) adalah sebuah museum di Jakarta, Indonesia. Museum ini didedikasikan khusus untuk menampilkan seni rupa tradisional dan keramik Indonesia. Museum ini terletak di sisi timur Lapangan Fatahillah, dekat Museum Sejarah Jakarta dan Museum Wayang.",Budaya,Jakarta,5000,4.4,-6.1342598,106.814552
33,The Escape Hunt,"Escape Hunt adalah salah satu tempat rekreasi yang lokasinya terletak di Jakarta Selatan. Di tempat ini, kamu akan berperan sebagai seorang detektif yang berada di sebuah ruangan terkunci dan hanya diberikan waktu 1 jam untuk memecahkan teka-teki yang ada. Tidak perlu khawatir atau takut sendirian, karena di sini kamu bisa mengajak hingga 4 temanmu dalam satu ruangan yang sama dan memecahkan kasus bersama-sama. Menarik sekali, bukan? Pertama kali datang di tempat ini, kamu akan dituntun untuk mengisi data di formulir yang telah disediakan dan diberikan briefing oleh pemandu game mengenai jalan cerita tema/kasus yang sudah kamu tentukan.",Hiburan,Jakarta,70000,4.4,-6.2555033,106.8122591
34,Jakarta Aquarium dan Safari,"Jika telah mengunjungi Seaworld Ancol, mungkin sudah tidak asing lagi dengan serunya menyaksikan biota laut. Jika belum puas, pengunjung dapat mencoba mengunjungi wisata satwa laut unik di Jakarta Aquarium. Jakarta Aquarium menempati areal seluas ±7000 m2 ini menawarkan atraksi wisata laut modern yang tidak hanya menghibur, juga edukatif. Meskipun tidak seluas SeaWorld Ancol, taman rekreasi ini juga menawarkan wahana dan atraksi yang tak kalah menariknya.",Hiburan,Jakarta,185000,4.6,-6.1752647,106.7904684
35,Pulau Semak Daun,"Pulau Semak Daun merupakan salah satu pulau yang terletak digugusan kepulauan Seribu. Secara administratif pulau ini termasuk dalam wilayah kabupaten Kepulauan Seribu provinsi DKI Jakarta sebagai daerah penangkaran penyu sisik dengan pantai yang nyaman untuk berenang karena pantainya yang bersih dan landai, berpasir putih, dan bebas bulu babi, terdapat pula daerah yang bagus untuk menyelam dan snorkeling pemula dan letaknya tidak jauh dari pulau Pramuka.",Alam,Jakarta,40000,4,-5.7296716,106.5714158
36,Taman Situ Lembang,"Taman Situ Lembang adalah sebuah taman kota yang terletak di pusat Jakarta. Situ berarti danau yang payau, sedangkan Lembang adalah nama jalan yang berada di dekat taman tersebut..\nTaman ini merupakan salah satu taman tertua di Jakarta dan memiliki danau kecil yang airnya berasal dari sumber air alam. Di taman ini terletak fasilitas arena pemancingan, trek lari, dan arena permainan anak. Taman Situ Lembang dikelilingi oleh rumah-rumah di kawasan elite Menteng",Hiburan,Jakarta,0,4.5,-6.1978861,106.8346708
37,Taman Ismail Marzuki,"Pusat Kesenian Jakarta Taman Ismail Marzuki yang populer disebut Taman Ismail Marzuki (TIM) merupakan sebuah pusat kesenian dan kebudayaan yang berlokasi di jalan Cikini Raya 73, Jakarta Pusat. Di sini terletak Institut Kesenian Jakarta dan Planetarium Jakarta. Selain itu, TIM juga memiliki enam teater modern, balai pameran, galeri, gedung arsip, dan bioskop. Acara-acara seni dan budaya dipertunjukkan secara rutin di pusat kesenian ini, termasuk pementasan drama, tari, wayang, musik, pembacaan puisi, pameran lukisan dan pertunjukan film. Berbagai jenis kesenian tradisional dan kontemporer, baik yang merupakan tradisi asli Indonesia maupun dari luar negeri juga dapat ditemukan di tempat ini. Nama pusat kesenian ini berasal dari nama pencipta lagu terkenal Indonesia, Ismail Marzuki.",Budaya,Jakarta,5000,4.6,-6.1891586,106.8397738
38,Galeri Indonesia Kaya,"Galeri Indonesia Kaya (disingkat GIK) adalah ruang publik yang memadukan konsep edukasi dan digital dengan tujuan untuk memperkenalkan dan mengapresiasi seni-budaya Indonesia khususnya kepada generasi muda, yang bertempat di Grand Indonesia, Jakarta, Indonesia. Galeri Indonesia Kaya digagas dan dibangun untuk menjadi ruang edutainment budaya berbasis teknologi digital yang dapat mendekatkan dan menyalurkan kreativitas berekspresi generasi muda dalam lingkup tradisi budaya nusantara. Tempat ini memiliki auditorium yang dapat digunakan untuk masyarakat yang membutuhkan tempat berkarya.",Budaya,Jakarta,0,4.8,-6.1948499,106.8200607
39,Museum Joang 45,"Gedung Joang '45 atau Museum Joang 45 adalah salah satu museum yang berada di Jakarta. Saat ini pengelolaannya dilaksanakan oleh Dinas Pariwisata dan Kebudayaan Provinsi DKI Jakarta. Museum ini terletak di Jalan Menteng Raya 31, Kelurahan Kebon Sirih, Kecamatan Menteng, Jakarta Pusat. Museum ini diresmikan pada tahun 1974 oleh Presiden Soeharto, setelah dilakukan renovasi.",Budaya,Jakarta,2000,4,-6.1861838,106.8364761
